year,claim,ret,dgrowth,pd
1956,value,-0.005451227625654753,0.055541172446503806,19.44769289365376
1957,value,-0.23335095354139135,0.011227344576419052,13.911850439278787
1958,value,0.7292579500207401,-0.15591280528953777,26.810070453478225
1959,value,0.15886294744499785,0.1243976363006507,26.394446584703044
1960,value,-0.11198346283925265,0.04929469589225688,21.2848615980812
1961,value,0.27714940415386535,-0.06825001018687216,28.047933093914647
1962,value,-0.06182691945457752,0.016803215779772396,24.82886149423578
1963,value,0.30734199342967994,0.0990394735800546,28.318815020698217
1964,value,0.18122137691565077,0.11336043455017464,28.825577954557478
1965,value,0.2596124048964559,0.13097589328961656,30.713341849990165
1966,value,-0.13754074717472053,0.10287492884001659,22.952332380434193
1967,value,0.36093939281730436,0.138516209994058,26.106435675972126
1968,value,0.2791262271553765,0.11221856736107294,28.693041653698238
1969,value,-0.2443537164113816,0.03827967631789453,19.99130664777366
1970,value,0.043622595571306766,-0.06584187194045099,21.158676665116268
1971,value,0.13840266098335174,-0.22093471216258265,28.993044564328272
1972,value,0.062494049986761224,0.006171011256622672,29.594395809465368
1973,value,-0.1512150110467988,0.10053163765306339,21.699224936237634
1974,value,-0.3185379891730644,0.0025835445611923635,13.91739702469868
1975,value,0.37584310893585315,-0.26733387489435323,23.95970063941036
1976,value,0.48014696436822746,0.09787739668911755,31.040582172719798
1977,value,0.039079757260851,0.31172664511877946,22.56942704353124
1978,value,0.05009985015866447,0.16674013453653536,19.065427943595555
1979,value,0.17930926724987084,0.17773807352172932,17.745753994429702
1980,value,0.0650027233822752,0.1460182934828569,15.261441527678471
1981,value,0.0788816668174579,0.173436734140604,12.802667810222909
1982,value,0.25599139686731065,-0.00279235172876513,14.885456565348786
1983,value,0.2813951246887796,0.026189760957828323,17.49899697640298
1984,value,0.1440345255224309,0.17537735768748464,15.704351458133821
1985,value,0.28317844349621657,0.0987136314954209,17.12220568366047
1986,value,0.21221315201100932,0.02383539005920099,19.215191925203822
1987,value,-0.0394703451355366,-0.05185017674993064,18.559111026234216
1988,value,0.23961222621569722,0.23543449501560687,17.0908307698886
1989,value,0.22794430683211364,-0.06269546527709302,21.273547820343012
1990,value,-0.20802681787791955,0.01142487013883109,15.730615971397013
1991,value,0.2522043210179936,-0.31723736774119926,25.96156522950751
1992,value,0.27881887963180385,-0.12924776268456073,36.685214373927934
1993,value,0.22338048283393697,0.15521003751995144,37.3696115703674
1994,value,-0.059236069717935824,0.012374394220280305,33.74872080418409
1995,value,0.4324150951946606,0.11365933976716303,42.002192200588006
1996,value,0.21050497043764227,0.16180383904596551,42.13192809837545
1997,value,0.31939196303283324,-0.02350119515707716,55.77930899822433
1998,value,0.09532096873095486,-0.00018187311159101327,60.07475935656304
1999,value,0.04399776475558581,-0.021257930103546485,63.02638997653763
2000,value,0.18453592169808797,-0.06560729770208429,78.60285315386615
2001,value,0.13973411112026923,-0.09133334154681894,97.11247910958775
2002,value,-0.29926074475390574,-0.33420344117097267,94.16799644151978
2003,value,0.41788371891743825,0.01651271454916614,130.1245758979549
2004,value,0.2240324075718263,0.5548636053862115,90.33814787830144
2005,value,0.11928850823279391,0.43608634508155175,64.32258616125495
2006,value,0.19802347245094332,0.24134762156326195,59.425987569573174
2007,value,-0.07231735431881048,0.04634070870736151,51.690021329302674
2008,value,-0.3738091323190009,0.08363636798464524,29.018143850437415
2009,value,0.3068582119531158,0.09132448241724545,33.11730815702113
2010,value,0.10452455687087103,-1.0610078663163685,104.59119872160004
2011,value,-0.20298433016093897,0.33226963134355847,58.88912945608884
2012,value,0.27093641879578945,0.2738952882865786,55.80696932030798
2013,value,0.4165436879111186,0.08073549676000802,71.76809815613011
2014,value,0.09153757025237086,0.16626960192306894,65.27615533325506
2015,value,-0.08801201106180379,0.06441074336800368,54.86419415071466
